customer_state,total_delivered_orders,avg_actual_days,avg_estimated_days,avg_delay_days,on_time_rate_pct
SP,40494,8.76,19.14,-10.38,94.11
RJ,12350,15.31,26.36,-11.05,86.53
MG,11354,12.01,24.55,-12.54,94.39
RS,5344,15.3,28.51,-13.21,92.85
PR,4923,11.99,24.61,-12.62,95.0
SC,3546,14.95,25.76,-10.8,90.24
BA,3256,19.34,29.43,-10.1,85.96
DF,2080,12.97,24.31,-11.34,92.93
ES,1995,15.79,25.59,-9.8,87.77
GO,1957,15.61,27.09,-11.48,91.82
PE,1593,18.45,31.06,-12.61,89.2
CE,1279,21.27,31.38,-10.11,84.68
PA,946,23.77,37.16,-13.39,87.63
MT,886,18.06,31.74,-13.69,93.23
MA,717,21.57,30.46,-8.89,80.33
MS,701,15.62,25.97,-10.36,88.45
PB,517,20.43,33.03,-12.6,88.97
PI,476,19.46,30.09,-10.63,84.03
RN,474,19.28,32.24,-12.96,89.24
AL,397,24.54,32.58,-8.03,76.07
SE,335,21.52,30.85,-9.33,84.78
TO,274,17.66,29.1,-11.44,87.23
RO,243,19.37,38.77,-19.4,97.12
AM,145,26.43,45.28,-18.85,95.86
AC,80,21.04,41.11,-20.08,96.25
AP,67,27.19,46.24,-19.06,95.52
RR,41,29.39,45.98,-16.59,87.8
