year_month,total_orders,total_gmv,prev_month_gmv,mom_gmv_growth_pct
2016-10,265,46566.71,,
2016-12,1,19.62,46566.71,-99.96
2017-01,750,127545.67,19.62,649979.87
2017-02,1653,271298.65,127545.67,112.71
2017-03,2546,414369.39,271298.65,52.74
2017-04,2303,390952.18,414369.39,-5.65
2017-05,3546,567066.73,390952.18,45.05
2017-06,3135,490225.6,567066.73,-13.55
2017-07,3872,566403.93,490225.6,15.54
2017-08,4193,646000.61,566403.93,14.05
2017-09,4150,701169.99,646000.61,8.54
2017-10,4478,751140.27,701169.99,7.13
2017-11,7289,1153528.05,751140.27,53.57
2017-12,5513,843199.17,1153528.05,-26.9
2018-01,7069,1078606.86,843199.17,27.92
2018-02,6555,966510.88,1078606.86,-10.39
2018-03,7003,1120678.0,966510.88,15.95
2018-04,6798,1132933.95,1120678.0,1.09
2018-05,6749,1128836.69,1132933.95,-0.36
2018-06,6099,1012090.68,1128836.69,-10.34
2018-07,6159,1027903.86,1012090.68,1.56
2018-08,6351,985414.28,1027903.86,-4.13
